...1,A_YEAR,C_COW_ALPHA,D_INTERVIEW,Q260,X003R,Q275R,Q112,Q113,Q114,Q115,Q116,Q117,Country Code,Country Name,GDP,FDI,GDPgr,Oilrents,Taxrevenue,ControlCorruption,CPIA
5510,2020,GUA,320070262,2,2,2,10,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5511,2020,GUA,320070263,2,1,2,5,4,4,4,4,4,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5512,2020,GUA,320070264,2,1,2,10,4,4,4,NA,NA,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5513,2020,GUA,320070265,2,2,2,9,2,2,2,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5514,2020,GUA,320070266,2,1,3,10,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5515,2020,GUA,320070267,2,2,3,10,3,2,2,3,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5516,2020,GUA,320070268,2,2,2,9,4,3,3,2,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5517,2020,GUA,320070269,2,1,2,10,4,4,4,4,4,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5518,2020,GUA,320070270,2,2,3,10,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5519,2020,GUA,320070271,2,1,2,10,2,2,3,3,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5520,2020,GUA,320070272,2,1,3,8,4,4,NA,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5521,2020,GUA,320070273,2,1,2,8,3,2,3,3,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5522,2020,GUA,320070274,2,1,3,10,3,2,2,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5523,2020,GUA,320070275,2,1,1,10,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5524,2020,GUA,320070276,2,1,3,10,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5525,2020,GUA,320070277,2,1,3,7,2,2,2,1,1,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5526,2020,GUA,320070278,2,1,-2,6,3,3,3,3,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5527,2020,GUA,320070279,2,1,3,10,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5528,2020,GUA,320070280,2,2,1,5,2,2,2,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5529,2020,GUA,320070281,2,1,2,10,3,2,2,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5530,2020,GUA,320070282,2,2,-2,4,2,1,NA,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5531,2020,GUA,320070283,2,2,3,10,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5532,2020,GUA,320070284,2,1,3,10,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5533,2020,GUA,320070285,2,2,3,10,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5534,2020,GUA,320070286,2,1,3,10,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5535,2020,GUA,320070287,2,2,2,9,2,2,3,2,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5536,2020,GUA,320070288,2,1,3,10,3,4,2,4,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5537,2020,GUA,320070289,2,1,1,10,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5538,2020,GUA,320070290,2,1,3,4,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5539,2020,GUA,320070291,2,1,3,10,3,2,3,2,1,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5540,2020,GUA,320070292,2,1,1,7,1,2,1,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5541,2020,GUA,320070293,2,1,2,10,2,2,2,3,1,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5542,2020,GUA,320070294,2,1,3,9,2,2,2,2,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5543,2020,GUA,320070295,2,1,3,8,3,3,3,3,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5544,2020,GUA,320070296,2,2,2,10,2,2,2,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5545,2020,GUA,320070297,2,1,2,7,1,3,1,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5546,2020,GUA,320070298,2,1,3,10,2,3,2,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5547,2020,GUA,320070299,2,1,3,5,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5548,2020,GUA,320070300,2,1,3,9,3,4,3,2,1,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5549,2020,GUA,320070301,2,1,2,10,3,2,2,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5550,2020,GUA,320070302,2,2,3,9,3,3,3,2,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5551,2020,GUA,320070303,2,1,3,10,3,3,2,2,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5552,2020,GUA,320070304,2,1,3,9,3,2,3,3,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5553,2020,GUA,320070305,2,1,3,10,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5554,2020,GUA,320070306,2,1,1,10,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5555,2020,GUA,320070307,2,2,2,1,3,3,3,NA,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5556,2020,GUA,320070308,2,1,1,10,4,4,4,4,4,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5557,2020,GUA,320070309,2,2,3,10,3,2,2,3,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5558,2020,GUA,320070310,2,1,2,7,2,2,2,2,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5559,2020,GUA,320070311,2,2,3,10,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5560,2020,GUA,320070312,2,1,3,3,2,2,2,2,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5561,2020,GUA,320070313,2,1,3,9,2,2,2,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5562,2020,GUA,320070314,2,1,1,10,2,2,2,2,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5563,2020,GUA,320070315,2,1,3,8,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5564,2020,GUA,320070316,2,2,3,10,3,3,3,3,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5565,2020,GUA,320070317,2,1,-2,8,3,3,2,3,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5566,2020,GUA,320070318,2,1,3,6,3,3,3,2,4,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5567,2020,GUA,320070319,2,1,2,5,2,2,2,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5568,2020,GUA,320070320,2,1,2,10,3,2,3,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5569,2020,GUA,320070321,2,1,3,10,2,2,2,3,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5570,2020,GUA,320070322,2,2,3,10,3,2,3,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5571,2020,GUA,320070323,2,2,2,10,3,2,2,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5572,2020,GUA,320070324,2,1,2,5,2,2,2,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5573,2020,GUA,320070325,2,2,2,10,3,2,2,3,4,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5574,2020,GUA,320070326,2,2,3,8,2,2,2,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5575,2020,GUA,320070327,2,2,-2,10,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5576,2020,GUA,320070328,2,1,2,10,2,2,2,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5577,2020,GUA,320070329,2,1,2,7,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5578,2020,GUA,320070330,2,2,3,10,3,3,4,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5579,2020,GUA,320070331,2,1,2,9,3,2,3,3,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5580,2020,GUA,320070332,2,2,3,10,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5581,2020,GUA,320070333,2,1,2,10,2,2,2,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5582,2020,GUA,320070334,2,1,3,10,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5583,2020,GUA,320070335,2,1,2,7,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5584,2020,GUA,320070336,2,1,1,10,4,4,4,4,4,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5585,2020,GUA,320070337,2,1,2,10,3,2,2,3,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5586,2020,GUA,320070338,2,2,3,10,3,3,3,4,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5587,2020,GUA,320070339,2,2,1,10,2,3,2,4,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5588,2020,GUA,320070340,2,1,1,10,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5589,2020,GUA,320070341,2,2,3,10,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5590,2020,GUA,320070342,2,2,2,10,NA,2,2,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5591,2020,GUA,320070343,2,1,3,10,3,3,3,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5592,2020,GUA,320070344,2,1,1,3,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5593,2020,GUA,320070345,2,1,3,10,3,2,3,3,1,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5594,2020,GUA,320070346,2,1,2,10,3,3,3,3,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5595,2020,GUA,320070347,2,1,3,9,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5596,2020,GUA,320070348,2,1,3,6,1,1,1,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5597,2020,GUA,320070349,2,1,3,9,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5598,2020,GUA,320070350,2,2,3,10,3,3,3,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5599,2020,GUA,320070351,2,1,3,10,3,3,4,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5600,2020,GUA,320070352,2,1,2,10,3,3,3,3,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5601,2020,GUA,320070353,2,1,3,6,2,2,2,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5602,2020,GUA,320070354,2,1,2,10,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5603,2020,GUA,320070355,2,1,3,9,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5604,2020,GUA,320070356,2,1,2,10,3,3,2,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5605,2020,GUA,320070357,2,1,2,6,3,2,3,3,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5606,2020,GUA,320070358,2,1,3,10,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5607,2020,GUA,320070359,2,1,3,10,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5608,2020,GUA,320070360,2,1,3,9,3,3,3,3,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5609,2020,GUA,320070361,2,1,3,10,2,3,2,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5610,2020,GUA,320070362,2,1,3,9,2,2,2,3,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5611,2020,GUA,320070363,2,1,1,10,3,3,3,2,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5612,2020,GUA,320070364,2,1,3,7,2,2,2,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5613,2020,GUA,320070365,2,1,2,10,2,2,2,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5614,2020,GUA,320070366,2,1,2,10,4,4,4,2,4,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5615,2020,GUA,320070367,2,1,3,9,2,2,2,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5616,2020,GUA,320070368,2,1,2,10,4,4,4,4,4,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5617,2020,GUA,320070369,2,1,-2,10,3,3,3,2,1,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5618,2020,GUA,320070370,2,1,1,10,2,2,2,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5619,2020,GUA,320070371,2,1,2,10,2,2,2,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5620,2020,GUA,320070372,2,1,3,10,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5621,2020,GUA,320070373,2,1,1,10,3,2,2,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5622,2020,GUA,320070374,2,1,3,10,3,3,4,3,4,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5623,2020,GUA,320070375,2,1,3,10,3,3,3,4,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5624,2020,GUA,320070376,2,1,3,8,3,3,3,3,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5625,2020,GUA,320070377,2,1,2,10,3,2,3,3,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5626,2020,GUA,320070378,2,1,3,10,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5627,2020,GUA,320070379,2,1,3,10,2,3,2,2,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5628,2020,GUA,320070380,2,1,3,10,2,2,2,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5629,2020,GUA,320070381,2,1,2,10,2,2,1,3,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5630,2020,GUA,320070382,2,1,2,10,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5631,2020,GUA,320070383,2,1,3,10,2,2,2,3,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5632,2020,GUA,320070384,2,1,3,10,2,2,2,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5633,2020,GUA,320070385,2,1,3,10,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5634,2020,GUA,320070386,2,1,2,10,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5635,2020,GUA,320070387,2,1,2,10,3,3,2,2,1,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5636,2020,GUA,320070388,2,1,3,9,2,2,2,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5637,2020,GUA,320070389,2,1,3,10,4,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5638,2020,GUA,320070390,2,1,2,10,3,3,2,1,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5639,2020,GUA,320070391,2,1,3,10,3,2,3,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5640,2020,GUA,320070392,2,1,1,10,4,4,4,4,4,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5641,2020,GUA,320070393,2,1,2,10,2,2,2,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5642,2020,GUA,320070394,2,1,3,7,2,2,3,3,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5643,2020,GUA,320070395,2,1,1,7,2,2,2,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5644,2020,GUA,320070396,2,1,3,10,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5645,2020,GUA,320070397,2,1,2,10,4,4,4,4,4,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5646,2020,GUA,320070398,2,1,3,8,4,4,3,3,4,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5647,2020,GUA,320070399,2,1,3,10,4,3,2,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5648,2020,GUA,320070400,2,1,2,10,2,2,3,3,1,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5649,2020,GUA,320070401,2,1,3,10,4,3,4,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5650,2020,GUA,320070402,2,1,3,9,3,3,2,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5651,2020,GUA,320070403,2,1,3,10,3,1,NA,1,1,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5652,2020,GUA,320070404,2,1,2,10,4,4,4,4,4,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5653,2020,GUA,320070405,2,1,1,10,2,2,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5654,2020,GUA,320070406,2,1,3,10,4,4,4,4,4,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5655,2020,GUA,320070407,2,1,2,10,3,3,3,3,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5656,2020,GUA,320070408,2,1,2,5,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5657,2020,GUA,320070409,2,1,3,10,2,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5658,2020,GUA,320070410,2,1,-2,1,2,2,3,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5659,2020,GUA,320070411,2,1,1,5,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5660,2020,GUA,320070412,2,1,2,10,2,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5661,2020,GUA,320070413,2,1,2,10,4,4,4,4,4,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5662,2020,GUA,320070414,2,1,3,10,3,3,2,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5663,2020,GUA,320070415,2,1,3,10,2,2,2,3,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5664,2020,GUA,320070416,2,1,-2,10,2,3,2,1,1,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5665,2020,GUA,320070417,2,1,3,8,2,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5666,2020,GUA,320070418,2,1,2,10,NA,3,3,3,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5667,2020,GUA,320070419,2,1,2,10,3,3,3,3,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5668,2020,GUA,320070420,2,1,2,10,3,2,3,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5669,2020,GUA,320070421,2,1,2,6,4,1,4,4,4,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5670,2020,GUA,320070422,2,1,1,9,2,2,2,2,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5671,2020,GUA,320070423,2,1,2,7,2,3,3,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5672,2020,GUA,320070424,2,1,2,10,3,3,3,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5673,2020,GUA,320070425,2,1,2,10,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5674,2020,GUA,320070426,2,1,3,10,2,2,2,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5675,2020,GUA,320070427,2,1,3,10,3,2,3,2,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5676,2020,GUA,320070428,2,1,2,7,2,3,3,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5677,2020,GUA,320070429,2,1,3,8,2,2,2,3,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5678,2020,GUA,320070430,2,4,-2,10,1,1,2,1,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5679,2020,GUA,320070431,2,4,3,10,2,2,2,2,2,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
5680,2020,GUA,320070432,2,4,2,10,3,3,3,3,3,GTM,Guatemala,77719464221,1.292303891,-1.785551945,0.053289218,9.955089967,-1.134097815,..
